Input Size,Run Time (ns)
0,2144
1,2102
2,2244
3,2347
4,2758
5,3773
6,6187
7,7045
8,5978
9,6997
10,6785
11,7319
12,7891
13,7960
14,7929
15,11222
16,14142
17,14699
18,18817
19,24693
20,38210
21,56256
22,86185
23,132839
24,213368
Input Size,Run Time (ns)
0,2528
1,2947
2,3318
3,3696
4,4012
5,5415
6,5684
7,6336
8,6697
9,7471
10,6772
11,7607
12,7100
13,7225
14,8500
15,10667
16,11207
17,13734
18,18860
19,25732
20,37178
21,55399
22,86380
23,134692
24,211476
Input Size,Run Time (ns)
0,2573
1,2093
2,3043
3,2553
4,3527
5,3963
6,6641
7,5607
8,6265
9,6498
10,6329
11,7061
12,7693
13,7911
14,9887
15,10165
16,12925
17,14911
18,19915
19,27993
20,37659
21,56424
22,86056
23,135112
24,213357
Input Size,Run Time (ns)
0,1685
1,1865
2,2001
3,2420
4,2594
5,3458
6,4794
7,4685
8,5327
9,5309
10,5823
11,6661
12,6856
13,7231
14,7854
15,8826
16,10091
17,12427
18,17285
19,24588
20,36218
21,54161
22,84429
23,132361
24,210965
